types,name,address,city,state,phone,twitter_name,facebook_page_id
Food,BoBbY cookie,,New York,NY,(347) 393-8515,"",""
Food,Podrigal's Bakery,1272 56th St,Brooklyn,NY,(718) 435-4956,"",""
Food,Sweet Delights,1067 Brighton Beach Ave,Brooklyn,NY,(718) 743-5841,"",""
Food,Amor Bakery,224 Avenue B,New York,NY,(212) 473-5356,"",""
Food,Oliva and Sons Bakery,2748 W 15th St,Brooklyn,NY,(718) 714-6548,"",""
Food,Keep It Sweet Desserts,,New York,NY,(646) 543-5473,KeepItSweet_LL,KeepItSweetBlog
Food,El Nazereno 2 Bakery,2002 3rd Ave,Manhattan,NY,(212) 876-7981,"",""
Food,Nelly's Bakery,2021 Amsterdam Ave,New York,NY,(212) 928-6189,"",""
Food,Mich's Maccs,,New York,NY,(917) 783-4641,"",""
Food,A Simple Cake,335 W. 38th St,Manhattan,NY,(917) 499-2030,"",""
Food,Janeydi Bakery,524 Morris Ave,Bronx,NY,,"",""
Food,Au Beurre Chaud Bakery,1625 Nostrand Ave,Brooklyn,NY,(718) 940-4332,"",""
Food,Cookie Guild,176 Lafayette Ave,Brooklyn,NY,,"",""
Food,Damascus Bakery,56 Gold St,Brooklyn,NY,(718) 855-1456,"",""
Food,Grande Monuments,382 Graham Ave,Brooklyn,NY,(718) 782-1800,"",""
Food,Compres Bakery Corporation,3522 Broadway,New York,NY,(212) 926-0303,"",""
Food,Presser Kosher Baking Corporation,1720 Avenue M,Brooklyn,NY,(718) 375-5088,"",""
Food,La Colombianita Bakery,10837 Corona Ave,Corona,NY,(718) 393-0063,"",""
Food,Moretti Bakery,4524 Avenue N,Brooklyn,NY,(718) 377-5364,"",""
Food,Polkadot Cupcake Shop,,New York,NY,(551) 333-3195,sweeterwithcake,PolkadotCupcakeShop
Food,Mango's Lighthouse,3961 61st St,Woodside,NY,(718) 424-9039,"",""
Food,Vaccaro Bakery,4201 30th Avenue,Astoria,NY,(718) 728-8230,"",""
Food,Nablus Sweets Corp,6812 5th Ave,Brooklyn,NY,(718) 748-1214,"",""
Food,Island Roti Bakery Shop,65 Victory Blvd,Staten Island,NY,(718) 815-7001,"",""
Food,Broadway Bakery,379 Bridge St,Brooklyn,NY,(718) 246-1390,"",""
Food,Maxin Bakery,40-06 Main St,Flushing,NY,(718) 886-0666,"",""
Food,Vallecito Bakery,40-06 Benham St,Queens,NY,(718) 899-8242,"",""
Food,Golden Krust,31 Victory Blvd,Staten Island,NY,(347) 286-0178,GoldenKrustBkry,284557428294
Food,Dominican Bakery,800 Grand St,Brooklyn,NY,(718) 384-1995,"",""
Food,Angel's Flake Patties,2114 Nostrand Ave,Brooklyn,NY,(718) 434-0816,"",""
Food,C & D Bakery,8510 20th Ave,Brooklyn,NY,(718) 449-1897,"",""
Food,Tea Shop 168 & Bakery,6004 Kissena Boulevard,Flushing,NY,(718) 886-0689,"",""
Food,Queens Pita,6838 Main St,Flushing,NY,(718) 263-8000,"",""
Food,Astoria Bakery,4321 Ditmars Blvd,Astoria,NY,(718) 728-9712,"",""
Food,Savoy Bakery,5922 8th Ave,Brooklyn,NY,(718) 439-6343,"",""
Food,Pani Dolci,137-67 Queens Blvd,Jamaica,NY,(718) 526-4407,"",""
Food,Framboise Patisserie,64-59 Dry Harbor Rd,Middle Village,NY,(718) 326-1579,@AJFramboise,framboisepatisserie
Food,Ruthy's Bakery,75 9th Ave,New York,NY,(888) 729-8800,"",""
Food,Magnolia Bakery,Grand Central Terminal,New York,NY,(212) 682-3588,magnoliabakery,MagnoliaBakery
Food,Sindy's Bakery,264 E 167th Street,Bronx,NY,(718) 410-9569,"",""
Food,Mondial Bakery,7802 20th Ave,Brooklyn,NY,(718) 331-0033,"",""
