types,name,address,city,state,phone,twitter_name,facebook_page_id
arts,Retro Arcade Den,3150 18th St,San Francisco,CA,(415) 405-5665,"",""
arts,The CASTLE,1593 Newhall,San Francisco,CA,,"",""
arts,The Shack,333 Randolph St,San Francisco,CA,,"",""
arts,Chiltepinos,Entre Gándara Y Simon Bley,San Francisco,CA,(662) 236-6399,"",""
arts,UP,Florida 1281,San Francisco,CA,(415) 702-8432,"",""
arts,Word Fall for Iphone/Ipod Touch,,San Francisco,CA,,"",""
arts,Contemporary Crafts Market,Festival Pavilion,San Francisco,CA,(415) 995-4925,"",""
arts,Dennis Rae Fine Art Gallery,351-A Geary St,San Francisco,CA,(415) 391-1948,artofdrseuss,artofdrseuss
arts,Macchiarini Creative Design,1544 Grant Ave,San Francisco,CA,(415) 982-2229,"",""
arts,Al Davidson,90 Seal Rock Drive,San Francisco,CA,(415) 387-2840,"",""
arts,Creativity Paints @ Stretch the Imagination,2250 Union St,San Francisco,CA,(415) 675-5656,"",""
arts,Fono Art,798 Sutter Street,San Francisco,CA,(415) 931-2339,"",""
arts,Atelier,79 New Montgomery St,San Francisco,CA,(415) 618-6305,galleries_aau,""
arts,Kurt Glowienke Artist,1406 Birchwood Ct,San Francisco,CA,(415) 587-6505,"",""
arts,Concourse Gallery,Bank of America Center,San Francisco,CA,,"",""
arts,Ivy Jacobsen,,San Francisco,CA,(415) 269-7937,"",""
arts,Diane Komater,"1890 Bryant Street, Studio 316",San Francisco,CA,(415) 255-4522,"",""
arts,Altman Siegel Gallery,49 Geary Street,San Francisco,CA,(415) 576-9300,"",""
arts,Tala Tattoo,3150 18th St,San Francisco,CA,(415) 902-4794,talatattoo,""
arts,TSD Fine Art & Gifts,2345 Harrison Street,San Francisco,CA,(415) 310-2091,"",""
arts,Tiny,1815 Polk St.,San Francisco,CA,(415) 931-3130,"",""
arts,Fossil Faux Studios,1268 Folsom St,San Francisco,CA,(415) 621-6484,"",""
arts,Four Squared,Project One,San Francisco,CA,(415) 938-7173,p1sf,projectonesf
arts,Brief Space,101 4th St,San Francisco,CA,,"",""
