Category,Name,Street,City,State,Zip,Phone,Twitter
Shopping,1:46 Watch Repair & Designer Collective,146 N 7th  St,Brooklyn,NY,11211,(718) 599-0347,n/a
Shopping,10 spot,2168 Bartow Ave,Bronx,NY,10475,(718) 379-0546,madragstores
Shopping,10022-SHOE,5th Ave,New York,NY,10022,,saks
Shopping,124 Rx Corp,157 W 124th St,New York,NY,10027,(212) 865-1959,n/a
Shopping,139 Pharmacy Inc,3415 Broadway,New York,NY,10031,(212) 283-5549,n/a
Shopping,14th Street DVD Center,114 14th St,Manhattan,NY,10003,,n/a
Shopping,1517A Watson Pawn Broker Corporation,1517 Watson Avenue,Bronx,NY,10472,(718) 842-0068,n/a
Shopping,168 99 Cent & Up Store Inc,6945 Grand Ave,New York,NY,11378,,n/a
Shopping,18th Ave Smoke Shop Discount,8120 18th Ave,Brooklyn,NY,11214,(718) 621-2023,n/a
Shopping,1stoptoshop.com Inc,2883 3rd Ave,Bronx,NY,10455,(718) 742-9591,n/a
Shopping,2 Brothers Deli LLC,939 Morris Park Ave,Bronx,NY,10462,(718) 823-5250,n/a
Shopping,2 D Photo Production,177 Greene Ave,Brooklyn,NY,11238,(718) 246-2844,n/a
Shopping,20 20 Optical,1592 3rd Ave Frnt 2,New York,NY,10128,(212) 876-7676,n/a
Shopping,20 20 Optics On Buhre Inc,3044 Buhre Ave,Bronx,NY,10461,(718) 239-9334,n/a
Shopping,21st Century Gem LLC,19 W 44th St Ste 1416,New York,NY,10036,(212) 354-6527,century21stores
Shopping,22 Century Wireless Plus Inc,1767 Dr Martin L King Jr Blvd,Bronx,NY,10453,(718) 299-2700,n/a
Shopping,227 North Canal Inc,227 Canal St,New York,NY,10013,(212) 431-1388,n/a
Shopping,232 United Deli & Grocery,232 Meserole St,Brooklyn,NY,11206,(718) 366-8957,n/a
Shopping,238 Lumiere,238 7th Ave,Brooklyn,NY,11215,(718) 369-1082,n/a
Shopping,2C Communications Group,2 Penn Plz Rm 1500,New York,NY,10121,(212) 292-4995,n/a
Shopping,2nd Avenue Thrift Shop,186 Second Ave,Manhattan,NY,10003,(212) 375-8585,n/a
Shopping,303 Gallery,525 W 22nd St,New York,NY,10011,(212) 255-1121,n/a
Shopping,32nd St Photo,150 W 32nd Street,New York,NY,10001,(212) 695-1461,studio303ny
Shopping,32nd Street Gifts,150 W 32nd St,New York,NY,10001,(212) 594-4922,n/a
Shopping,33-04 Union Street,224 W 35th Street,New York,NY,10001,(917) 289-0082,n/a
Shopping,3340 Broadway Pharmacy Inc,3340 Broadway,New York,NY,10031,(212) 281-1270,n/a
Shopping,347 Unisex Salon Ltd,347 5th Ave Ph,New York,NY,10016,(212) 213-6271,n/a
Shopping,34th ST. Camera & Computers,460 7 Ave,Manhattan,NY,10123,(212) 695-7111,n/a
Shopping,37 Discount,995 Avenue of the Americ,New York,NY,10018,(212) 630-9957,n/a
Shopping,38 Street Wireless,1385 Broadway Frnt 3,New York,NY,10018,(212) 354-5290,n/a
Shopping,398 Bridge Street Fabrics,398 Bridge St,Brooklyn,NY,11201,(718) 875-9255,n/a
Shopping,3G Trimming,230 W 38th St,New York,NY,10018,(646) 728-0300,n/a
Shopping,42nd St Perfume,10 E 42nd St,New York,NY,10017,(212) 883-6630,n/a
Shopping,42nd Street Photo,378 5th Ave,New York,NY,10018,(888) 810-4242,42ndstreetphoto
Shopping,43 News & Smoke Shop,153 E 43rd Street Lex Avenue,New York,NY,10017,(212) 682-8180,n/a
Shopping,449 LA Oaka OSCAT - Showcase For Artists,449 Lenox Ave,New York,NY,10037,(212) 234-3298,n/a
Shopping,47 St Audio & Photo,378 5th Avenue,New York,NY,10018,(212) 564-0938,n/a
Shopping,4th & Atlantic Pawnbrokers,12 4th Ave,Brooklyn,NY,11217,(718) 243-2200,n/a
